"","Name","Genre 1","Genre 2","Genre 3","All_Time_Peak","positive_ratings","negative_ratings"
"468","Chicken Shoot Gold","Action","Casual","Indie",8426,139,108
"469","8-Bit Arena VR","Indie",NA,NA,8415,2,2
"470","FINAL FANTASY XII THE ZODIAC AGE","Violent","RPG",NA,8386,1706,277
"471","Dragon Age: Origins - Ultimate Edition","RPG",NA,NA,8364,8808,726
"472","Lup","Action","Indie",NA,8364,149,186
"473","Metin2","Action","Adventure","Free to Play",8285,4526,2741
"474","Mirror","Adventure","Indie","RPG",8250,21474,702
"475","One Wish","Adventure","Indie",NA,8234,25,7
"476","FINAL FANTASY IX","RPG",NA,NA,8229,3875,325
"477","Rogue Legacy","Action","Adventure","Indie",8079,13854,936
"478","Battle Brothers","Indie","RPG","Strategy",8060,5181,709
"479","Merger 3D","Action","Indie",NA,8051,60,80
"480","Risen 3 - Titan Lords","RPG",NA,NA,8011,2756,1144
"481","Polterheist","Action","Indie","Simulation",7985,72,116
"482","Monday Night Combat","Action","Strategy","Indie",7981,720,205
"483","Might & Magic X - Legacy","RPG",NA,NA,7975,1571,780
"484","JDM Tuner Racing","Action","Racing","Simulation",7970,103,160
"485","Putrefaction 2: Void Walker","Violent","Gore","Action",7963,144,37
"486","Hexaball","Adventure","Casual","Indie",7961,25,22
"487","ORION: Prelude","Action","Adventure","Indie",7944,22057,7558
"488","Star Trek Online","Free to Play","Massively Multiplayer","RPG",7910,7639,2391
"489","Heaven Island - VR MMO","Adventure","Indie","Massively Multiplayer",7907,1286,893
"490","Life is Feudal: Your Own","Action","Indie","RPG",7896,6167,3395
"491","Mind Spheres","Casual","Indie","Sports",7870,410,103
"492","Pixel Space","Action","Casual","Indie",7839,41,17
"493","Beholder","Adventure","Indie","Strategy",7817,9947,1095
"494","Worms Reloaded","Strategy",NA,NA,7814,2478,430
"495","Magic: The Gathering - Duels of the Planeswalkers 2013","Strategy",NA,NA,7807,921,130
"496","Worms Revolution","Strategy",NA,NA,7770,3922,686
"497","Game Dev Tycoon","Casual","Indie","Simulation",7761,27373,1436
"498","Day of Defeat","Action",NA,NA,7758,3416,398
"499","Unheard","Indie","RPG","Simulation",7754,5222,288
"500","Post Scriptum","Action","Indie","Massively Multiplayer",7753,2889,1556
"501","Darksiders III","Action","Adventure","RPG",7730,3302,1368
"502","The Note","Adventure","Indie",NA,7716,87,241
"503","METAL GEAR SURVIVE","Violent","Action","Adventure",7713,2213,1232
"504","Repulsanoid","Casual","Indie",NA,7702,10,4
"505","Epic Mayhem","Action","Casual","Indie",7692,2,0
"506","Unforgiving Trials: The Darkest Crusade","Adventure","Indie","RPG",7692,354,214
"507","Wooden House","Gore","Action","Adventure",7676,142,71
"508","Broadside","Action","Adventure","Indie",7661,8,15
"509","Super Animal Royale","Action","Adventure","Casual",7648,1177,38
"510","Contagion","Action","Adventure","Indie",7624,9087,3585
"511","Madrobot X","Action","Casual","Indie",7601,79,10
"512","Particula","Casual","Indie","Strategy",7590,1344,622
"513","Youtubers Life","Indie","Simulation","Strategy",7553,6483,2590
"514","Just Cause 2","Action","Adventure",NA,7547,33636,3231
"515","Defense Grid: The Awakening","Indie","Strategy",NA,7534,3307,113
"516","Keplerth","Adventure","Indie","RPG",7526,227,43
"517","Day of Defeat: Source","Action",NA,NA,7507,10489,1210
"518","Knights and Merchants","Simulation","Strategy",NA,7481,2341,515
"519","ShellShock Live","Action","Casual","Indie",7455,11426,1264
"520","Tribes: Ascend","Action","Free to Play",NA,7444,6470,1738
"521","Torment: Tides of Numenera","Adventure","Indie","RPG",7430,2092,955
"522","The Bureau: XCOM Declassified","Action",NA,NA,7412,6661,2923
"523","Survive in Space","Action","Adventure","Casual",7386,165,58
"524","Sanctum","Action","Casual","Indie",7380,2552,296
"525","Catan Universe","Casual","Strategy",NA,7376,463,720
"526","J.U.R : Japan Underground Racing","Casual","Indie","Racing",7344,14,51
"527","Cell to Singularity - Evolution Never Ends","Casual","Free to Play","Simulation",7340,471,119
