"","Name","Genre 1","Genre 2","Genre 3","All_Time_Peak","positive_ratings","negative_ratings"
"1034","Thronebreaker: The Witcher Tales","Adventure","RPG",NA,3371,2686,387
"1035","Flix and Chill","Casual","Indie","Simulation",3364,155,35
"1036","Pro Cycling Manager 2017","Simulation","Sports",NA,3355,194,106
"1037","The Escapists","Action","Adventure","Indie",3354,11629,1432
"1038","Vindictive Drive","Violent","Action","Indie",3354,32,15
"1039","Death Rally","Action","Racing",NA,3351,376,158
"1040","Outrage","Adventure","Indie","RPG",3345,78,44
"1041","Company of Heroes - Legacy Edition","Violent","Action","Strategy",3344,4772,320
"1042","Despotism 3k","Indie","Simulation","Strategy",3341,185,37
"1043","NC Tower Defense 2","Action","Adventure","Indie",3339,4,5
"1044","The Ball","Action","Adventure","Indie",3337,606,210
"1045","Dale Hardshovel HD","Casual","Indie",NA,3334,15,11
"1046","Dungreed","Action","Indie",NA,3332,2104,305
"1047","Ball of Wonder","Casual","Indie",NA,3329,28,14
"1048","Supraball","Action","Casual","Free to Play",3329,1710,530
"1049","DCS World Steam Edition","Free to Play","Simulation",NA,3328,5083,1534
"1050","Fluffy","Action","Adventure",NA,3320,34,17
"1051","HotLead","Action","Adventure",NA,3318,88,177
"1052","Creeper World 3: Arc Eternal","Indie","Simulation","Strategy",3303,2347,87
"1053","RWBY: Grimm Eclipse","Action","Adventure","Indie",3298,8844,1830
"1054","Upside Down","Action","Adventure","Casual",3296,340,49
"1055","Jack's Gang","Action","Indie",NA,3292,53,88
"1056","Dungeons 3","Simulation","Strategy",NA,3289,8974,528
"1057","Wasteland 2: Director's Cut","Adventure","Indie","RPG",3285,6221,1309
"1058","上帝之城 I：监狱帝国 [City of God I - Prison Empire]","Indie","RPG","Simulation",3284,1184,510
"1059","Craft The World","Indie","RPG","Simulation",3283,6946,984
"1060","Cube Racer","Action","Casual","Indie",3283,9,2
"1061","Kings under the hill","Indie","Strategy",NA,3283,20,14
"1062","JumpBall","Casual","Indie","Sports",3281,97,131
"1063","Space Pilgrim Episode II: Epsilon Indi","Adventure","Indie",NA,3278,310,52
"1064","Neon Prism","Action","Casual","Indie",3272,156,62
"1065","Regimental Chess","Free to Play","Strategy",NA,3271,57,59
"1066","Perfect Fit - Totemland","Casual","Indie",NA,3261,20,5
"1067","Secret of Mana","Action","RPG",NA,3261,936,518
"1068","Broken Age","Adventure","Casual","Indie",3260,5312,1063
"1069","Ryse: Son of Rome","Action",NA,NA,3257,14966,2939
"1070","Sword Art Online: Hollow Realization Deluxe Edition","Action","Adventure","Casual",3254,2860,707
"1071","Hammerwatch","Action","Adventure","Indie",3253,5092,566
"1072","Vampire: The Masquerade - Bloodlines","Action",NA,NA,3251,6161,362
"1073","Wolf Simulator","Action","Adventure","Indie",3247,98,256
"1074","Doug and Lily","Action","Adventure","Indie",3246,21,5
"1075","ICEY","Action","Adventure","RPG",3240,16978,1627
"1076","Inner silence","Action","Adventure","Casual",3236,8,14
"1077","Gratuitous Space Battles","Indie","Simulation","Strategy",3231,505,168
"1078","Brain In My Head","Action","Casual","Indie",3229,192,246
"1079","Pavlov VR","Violent","Gore","Action",3221,2952,355
"1080","New kind of adventure","Adventure","Indie","RPG",3215,614,872
"1081","Five Nights at Freddy's 3","Action","Indie","Simulation",3212,4917,678
"1082","Altar Guardian","Action","Adventure","Indie",3208,50,64
"1083","Halo Wars: Definitive Edition","Strategy",NA,NA,3192,2471,374
"1084","Space Pilgrim Episode III: Delta Pavonis","Adventure","Indie",NA,3186,218,37
"1085","Caster","Action","Adventure","Casual",3184,3277,868
"1086","Super Cuber","Casual","Indie",NA,3183,22,5
"1087","CONSORTIUM","Action","Adventure","Indie",3180,1026,396
"1088","Dream Dealer","Action","Adventure","Casual",3175,49,58
"1089","Sniper Elite: Nazi Zombie Army","Action",NA,NA,3174,3204,446
"1090","Pacify","Action","Adventure","Casual",3173,1322,186
"1091","Resurgence","Adventure","Indie",NA,3171,14,5
"1092","Material Girl","Adventure","Indie","RPG",3167,6922,648
"1093","Super Happy Singh","Action","Adventure","Casual",3158,10,3
"1094","Blade Symphony","Action","Indie",NA,3155,3129,1537
"1095","Revenge of the Titans","Action","Indie","Strategy",3155,837,158
"1096","Pixel Puzzles: UndeadZ","Action","Casual","Indie",3153,511,173
"1097","Planetoid","Action","Adventure","Indie",3153,12,10
"1098","Slingshot people","Action","Casual","Indie",3153,593,689
"1099","Cultist Simulator","Indie","RPG","Simulation",3143,1749,572
"1100","Power of Love","Casual","Indie","Strategy",3143,51,23
"1101","Atom Zombie Smasher","Indie","Strategy",NA,3139,1397,180
"1102","Mist Survival","Action","Adventure","Indie",3136,2673,557
"1103","Desolate Wastes: Vendor Chronicles","Action","Casual","Indie",3134,67,56
"1104","Super Mega Neo Pug","Action","Casual","Indie",3131,564,116
"1105","Hellphobia","Action","Indie",NA,3130,8,15
"1106","Flesh Eaters","Action","Adventure","Indie",3127,927,364
"1107","SUPERFIGHT","Casual","Indie","Strategy",3124,209,122
"1108","Fate/EXTELLA LINK","Action",NA,NA,3118,987,94
"1109","Remember Me","Action","Adventure",NA,3117,9080,1815
"1110","Energy Invasion","Casual","Indie",NA,3114,6,1
"1111","Soldiers Lost Forever (1914-1918)","Action","Casual","Indie",3114,4,3
"1112","What The Heck, Dude?","Action","Casual","Indie",3111,98,159
"1113","Will To Live Online","Action","Indie","Massively Multiplayer",3108,1061,427
"1114","StarDrive","Indie","Strategy",NA,3106,547,729
"1115","Little Kite","Violent","Adventure","Indie",3104,62,8
"1116","Cliff Empire","Indie","Simulation","Strategy",3099,686,67
"1117","Crisis in the Kremlin","Indie","Simulation","Strategy",3095,651,126
"1118","This Is the Police","Sexual Content","Violent","Adventure",3093,5315,1096
"1119","F.E.A.R. 3","Action",NA,NA,3090,5349,2030
"1120","Domina","Action","Indie","Simulation",3089,4260,635
"1121","The Expendabros","Action","Adventure","Free to Play",3088,15084,425
"1122","Iron Sea Defenders","Casual","Indie","Strategy",3087,76,26
"1123","Hatred","Action","Indie",NA,3085,5473,1560
"1124","Zombitatos the end of the Pc master race","Action","Adventure","Casual",3085,205,109
"1125","Home Behind","Adventure","Casual","Indie",3083,3517,530
"1126","Sandstorm","Action","Adventure","Casual",3082,7,11
"1127","Cry of Fear","Action","Adventure","Indie",3075,20990,3497
"1128","America's Army: Proving Grounds","Action","Free to Play",NA,3073,6413,1902
"1129","Absoloot","Action","Adventure","Indie",3070,137,119
"1130","WARMODE","Action","Free to Play","Early Access",3066,8983,6166
"1131","Wolfenstein: The Old Blood","Action",NA,NA,3064,6627,862
"1132","Gang Beasts","Action","Adventure","Casual",3062,13439,5880
"1133","Regions Of Ruin","Action","Adventure","Indie",3062,1090,175
"1134","Anomaly 2","Action","Indie","Strategy",3055,511,121
"1135","Spaceport Hope","Action","Adventure","Indie",3055,342,101
"1136","Endless Room","Adventure","Indie",NA,3053,26,26
"1137","BoneBone: Rise of the Deathlord","Action","Indie","Strategy",3049,270,143
"1138","The Elder Scrolls V: Skyrim VR","RPG",NA,NA,3048,2352,457
"1139","King Arthur - The Role-playing Wargame","RPG","Strategy",NA,3042,307,113
"1140","Dreaming Sarah","Adventure","Casual","Indie",3038,1686,163
"1141","Endless Sky","Action","Adventure","Free to Play",3035,3420,366
"1142","idleBeer","Casual","Indie","Simulation",3027,11,26
"1143","What's under your blanket 2 !?","Adventure",NA,NA,3022,429,162
"1144","HuniePop","Indie","RPG","Simulation",3018,17761,711
"1145","StarFringe: Adversus","Strategy","Early Access",NA,3017,19,14
"1146","Catch a Falling Star","Casual","Indie",NA,3013,360,137
"1147","Grand Theft Auto: Episodes from Liberty City","Action",NA,NA,3013,6401,2345
"1148","hack_me 2","Indie","Simulation",NA,3012,471,191
"1149","Ancient Guardian","Action","Adventure","Indie",3007,89,29
"1150","Yury","Action","Adventure","Indie",3007,236,242
"1151","Olav: the story of one boy","Adventure","Casual","Indie",3003,7,2
"1152","Cranium Conundrum","Adventure","Casual","Indie",3002,19,23
"1153","Our Wonderful World","Casual","Indie",NA,3002,10,8
"1154","Super Win the Game","Action","Indie",NA,3001,438,54
"1155","Throne Rushers","Action","Indie",NA,3000,4,6
"1156","Lovely Planet","Action","Indie",NA,2999,2092,181
"1157","Nihilist Simulator","Violent","Adventure","Casual",2997,34,4
"1158","Russian Horror Story","Adventure","Casual",NA,2997,497,359
"1159","Zombie Panic! Source","Action","Free to Play","Indie",2996,5267,914
"1160","Final Quest","Indie","RPG",NA,2988,52,78
"1161","Recettear: An Item Shop's Tale","RPG","Indie",NA,2986,5047,183
"1162","Defense Of Greece TD","Casual","Indie","Strategy",2985,26,16
"1163","Deserted: The Story of Peter","Adventure","Indie",NA,2984,20,2
"1164","Volleying","Casual","Indie","Sports",2983,8,3
"1165","Color Syndrome","Casual","Indie","Strategy",2974,66,39
"1166","Abduction Bit","Action","Indie",NA,2971,60,4
"1167","Burgers","Action","Adventure","Indie",2971,263,337
"1168","Radioactive Puzzle","Casual","Indie","Simulation",2968,11,6
"1169","Sherlock Holmes: The Devil's Daughter","Action","Adventure",NA,2968,2299,812
"1170","WtBoy","Casual","Indie",NA,2968,11,11
"1171","KRUM - Edge Of Darkness","Action","Adventure","Indie",2967,34,68
"1172","Villagers and Heroes","Free to Play","Indie","Massively Multiplayer",2964,1651,1272
"1173","Cat or Bread?","Casual","Indie",NA,2962,106,23
"1174","Pixel Puzzles 2: Anime","Action","Casual","Indie",2960,601,194
"1175","Abandoned Knight","Action","Adventure","Casual",2959,105,211
"1176","Stone Age Wars","Violent","Action","Indie",2959,107,51
"1177","Painted Memories","Action","Adventure","Indie",2953,6,11
"1178","Remaining in a dream","Adventure","Indie","Strategy",2952,52,78
"1179","Super Switch","Indie",NA,NA,2950,23,5
"1180","Gridberd","Action","Adventure","Indie",2948,73,95
"1181","Fate/EXTELLA","Action",NA,NA,2946,2833,204
"1182","Company of Heroes: Tales of Valor","Strategy",NA,NA,2945,1337,101
"1183","Clergy Splode","Action","Indie",NA,2942,197,252
"1184","Quantum Conundrum","Casual","Strategy",NA,2941,1224,225
"1185","Star Chronicles: Delta Quadrant","Indie","Strategy",NA,2936,159,97
"1186","Hotel Anatolia","Adventure","Indie","RPG",2934,134,50
"1187","Tap Adventure: Time Travel","Adventure","Free to Play",NA,2933,499,244
"1188","Star Drifter","Action","Casual","Indie",2932,77,97
"1189","Abyss Cave","Action","Adventure","Indie",2930,12,2
"1190","Sleeping Valley","Action","Adventure","Casual",2930,82,158
"1191","Darksiders II Deathinitive Edition","Action","Adventure","RPG",2927,5935,2063
"1192","Midnight Carnival","Casual","Early Access",NA,2926,52,135
"1193","Rivals of Aether","Indie",NA,NA,2922,4814,686
"1194","Red Death","Action","Indie",NA,2921,70,15
"1195","The Spirit Underneath","Violent","Adventure","Indie",2921,28,60
"1196","ASMR Universe","Utilities",NA,NA,2919,75,23
"1197","Time Ramesside (A New Reckoning)","Action","Adventure","Casual",2919,54,280
"1198","Fight or Die 2","Action","Adventure","Indie",2917,25,22
"1199","Prime World","Action","Free to Play","Massively Multiplayer",2912,1954,1378
"1200","Angels of Fasaria: Version 2.0","Adventure","Indie","RPG",2910,22,28
"1201","Teria","Action","Adventure","Indie",2908,8,11
"1202","Destruction 48","Action","Adventure","Indie",2906,19,25
"1203","Wizards' Clash","Casual","Indie","Strategy",2905,12,6
"1204","Darksiders Warmastered Edition","Action","Adventure","RPG",2904,5250,933
"1205","Deep Space Dash","Action","Casual","Indie",2904,78,213
"1206","Expeditions: Viking","Indie","RPG","Strategy",2901,1608,321
"1207","Eternal Card Game","Casual","Free to Play","Massively Multiplayer",2894,3457,993
"1208","Full Bore","Adventure","Casual","Indie",2892,154,28
"1209","Tequila Zombies 3","Violent","Action","Indie",2891,17,14
"1210","Across The Moment","Adventure","Indie",NA,2884,51,5
"1211","Call to Arms","Action","Free to Play","Indie",2882,5787,2144
"1212","Frederic: Evil Strikes Back","Action","Casual","Indie",2882,592,110
"1213","Protoshift","Action","Indie",NA,2882,45,20
"1214","METAL SLUG 3","Action",NA,NA,2879,5229,553
"1215","Golf It!","Casual","Indie","Simulation",2877,3219,744
"1216","Merlin adventurer store","Casual","Indie","Simulation",2875,108,19
"1217","Shovel Knight: Treasure Trove","Action","Adventure","Indie",2875,9334,332
"1218","Hand of Fate 2","Action","Indie","RPG",2873,2446,378
"1219","Samurai Wars","Action","Indie",NA,2873,9,2
"1220","Stoire","Indie","Early Access",NA,2873,9,11
"1221","The Renegades of Orion 2.0","Action","Casual","Indie",2872,32,19
"1222","AdVenture Communist","Casual","Free to Play","Indie",2871,2493,1149
"1223","Revenge of Roger Rouge","Action","Casual","Indie",2869,19,10
"1224","High On Racing","Indie","Racing",NA,2856,116,142
"1225","Urizen Shadows of the Cold Deluxe Frosty Edition","Action","Adventure","Indie",2856,26,97
"1226","Quiplash","Casual","Indie","Strategy",2855,359,45
"1227","Dungeons & Dragons Online®","Action","Adventure","Free to Play",2854,1718,696
"1228","CLASH","Action","Free to Play","Indie",2849,87,120
"1229","Agony","Action","Adventure","Indie",2845,991,1127
"1230","Defend The Highlands","Indie","Strategy",NA,2844,232,62
"1231","Dungeons: The Eye of Draconus","Action","Adventure","Casual",2840,81,91
"1232","The Mean Greens - Plastic Warfare","Action","Indie",NA,2836,5043,1370
"1233","West of Loathing","Adventure","Indie","RPG",2835,3039,74
"1234","Lost Base Escape","Violent","Gore","Action",2829,52,113
"1235","There's Poop In My Soup","Casual","Indie",NA,2826,3256,459
"1236","The Universim","Indie","Simulation","Strategy",2825,1539,505
"1237","Zpeciation: Tough Days (TD)","Indie","Strategy",NA,2824,19,15
"1238","How to Survive 2","Action","Adventure","RPG",2823,5823,2471
"1239","Metro: Last Light Redux","Action",NA,NA,2819,23483,5874
"1240","Permute","Casual","Indie",NA,2817,22,18
"1241","Final Quest II","Indie","RPG",NA,2816,56,65
"1242","Life is Hard","Adventure","Indie","Simulation",2816,339,132
"1243","Darkness Ahead","Adventure","Indie",NA,2814,9,7
"1244","Amigdala","Action","Adventure","Indie",2813,74,33
"1245","Army of Tentacles: (Not) A Cthulhu Dating Sim","Adventure","Indie","RPG",2812,38,27
"1246","Cataegis : The White Wind","Action","Indie",NA,2809,236,115
"1247","Drayt Empire","Indie","RPG",NA,2805,106,102
"1248","Galactic Fighter","Action","Casual","Indie",2804,35,52
"1249","Emily is Away","Adventure","Casual","Free to Play",2803,25981,3340
"1250","Star Fields","Casual","Indie",NA,2802,44,60
"1251","Rock 'N' Roll Defense","Action","Adventure","Casual",2801,673,137
"1252","Doomed Kingdoms","Action","Adventure","RPG",2796,28,26
"1253","The Agony","Sexual Content","Nudity","Violent",2796,105,75
"1254","Panzar","Action","Free to Play","Massively Multiplayer",2789,2987,1609
"1255","Endangered","Action","Adventure","Strategy",2787,7,8
"1256","EeOneGuy Adventure","Action","Adventure","Indie",2786,210,328
"1257","Idling to Rule the Gods","Casual","Indie",NA,2783,454,71
"1258","The Land of Dasthir","Adventure","Indie","RPG",2783,29,53
"1259","SNOW","Free to Play","Indie","Simulation",2779,7235,3754
"1260","Spikit","Casual","Indie",NA,2771,308,70
"1261","The Albatross","Action","Adventure","Indie",2768,12,18
"1262","Chronicles of the Witches and Warlocks","Adventure","Casual",NA,2767,34,43
"1263","Shatter","Action","Indie",NA,2761,963,64
"1264","Nanobots","Action","Casual","Indie",2759,10,5
"1265","Psycho on the loose","Violent","Gore","Action",2759,15,7
"1266","Bang Bang Fruit","Casual","Indie",NA,2756,28,48
"1267","Hand Simulator","Simulation",NA,NA,2755,9792,2665
"1268","Alien Run","Action","Adventure","Casual",2753,102,216
"1269","Autumn","Casual","Indie","Strategy",2752,101,77
"1270","The Jackbox Party Pack 5","Casual",NA,NA,2748,242,63
"1271","Warhammer 40,000: Mechanicus","Strategy",NA,NA,2748,1813,199
"1272","Airport CEO","Indie","Simulation","Strategy",2745,1388,395
"1273","Ultimate Chicken Horse","Action","Casual","Indie",2744,7908,451
"1274","Gear Up","Action","Free to Play","Indie",2743,6383,2225
"1275","Crazy Sapper 3D","Indie",NA,NA,2742,8,6
"1276","Nihilumbra","Adventure","Casual","Indie",2740,2268,272
"1277","Solar 2","Indie","Casual",NA,2739,1540,158
"1278","Gnomes Garden 3: The thief of castles","Casual","Strategy",NA,2737,32,2
"1279","Rise of Nations: Extended Edition","Simulation","Strategy",NA,2734,5125,473
"1280","Tricolour Lovestory","Nudity","Adventure","Casual",2733,11387,1121
"1281","The Astral Hero","Action","Adventure","Casual",2731,36,32
"1282","Infinitum","Action","Adventure","Indie",2728,53,41
"1283","Toribash","Action","Free to Play","Indie",2724,11143,1563
"1284","Guacamelee! Super Turbo Championship Edition","Action","Adventure","Indie",2723,1728,122
"1285","Governor of Poker 3","Casual","Free to Play","Massively Multiplayer",2720,2163,866
"1286","Quantum Break","Action",NA,NA,2719,10249,1929
"1287","Mordheim: City of the Damned","RPG","Strategy",NA,2715,3596,1614
"1288","Invention","Action","Indie",NA,2713,213,75
"1289","Royal Defense","Casual","Indie","Strategy",2713,138,50
"1290","Chompy Chomp Chomp","Action","Indie",NA,2705,359,164
"1291","Make it indie!","Adventure","Indie","Simulation",2704,544,653
"1292","Shadowrun: Dragonfall - Director's Cut","Adventure","Indie","RPG",2703,3488,398
"1293","Half-Life 2: Deathmatch","Action",NA,NA,2702,6020,787
"1294","Thief Simulator","Action","Adventure","Indie",2697,1854,528
"1295","Child of Light","RPG",NA,NA,2696,9980,747
"1296","Fallen Enchantress: Legendary Heroes","Indie","RPG","Strategy",2682,1265,495
"1297","Lost Crew","Action","Adventure","Casual",2681,37,5
"1298","HunieCam Studio","Indie","Simulation",NA,2675,3214,645
"1299","Democracy 3","Indie","Simulation","Strategy",2674,4492,1596
"1300","Monument","Action","Indie",NA,2674,38,54
"1301","Lethal League Blaze","Action","Indie","Sports",2673,1748,65
"1302","Project Hospital","Indie","Simulation","Strategy",2673,942,225
"1303","Dust: An Elysian Tail","Action","Adventure","Indie",2669,15064,625
"1304","Fallout 4 VR","Violent","RPG",NA,2664,2647,1162
"1305","Heroes of Hammerwatch","Action","Indie","RPG",2662,1401,356
"1306","Clustertruck","Action","Indie",NA,2658,4497,485
"1307","Phantom Doctrine","Action","RPG","Strategy",2658,1235,436
"1308","PippiStory","Action","Adventure","Indie",2658,93,43
"1309","Jump Like A Pirate","Action","Adventure","Indie",2654,28,29
"1310","Armored Gear","Action","Indie","Strategy",2653,40,43
"1311","Fallout 3","RPG",NA,NA,2653,9921,2709
"1312","Chowderchu","Action","Adventure","Indie",2651,30,21
"1313","Gnomes Garden 2","Casual","Strategy",NA,2651,51,2
"1314","Super Hexagon","Action","Indie",NA,2650,19797,616
"1315","Timberman VS","Action","Casual","Indie",2649,89,31
"1316","Epic Battle Fantasy 5","Adventure","RPG","Strategy",2648,1073,19
"1317","Factory Town","Simulation","Strategy","Early Access",2648,548,73
"1318","Gunpoint","Action","Indie","Strategy",2647,10384,271
"1319","Baldur's Gate II: Enhanced Edition","RPG","Strategy",NA,2644,2600,423
"1320","Deponia Doomsday","Adventure","Indie",NA,2644,1868,270
"1321","Staxel","Indie","RPG","Simulation",2644,1422,493
"1322","Jumps","Action","Indie","Racing",2642,137,9
"1323","Bound By Flame","Action","RPG",NA,2639,1843,943
"1324","Bloons TD Battles","Action","Free to Play","Strategy",2634,6486,1227
"1325","Primal Carnage","Action","Indie",NA,2631,4447,1323
"1326","RaceRoom Racing Experience","Free to Play","Racing","Simulation",2630,5204,3571
"1327","Ball 2D: Soccer Online","Action","Free to Play","Sports",2628,83,29
"1328","Magma Tsunami","Indie",NA,NA,2628,191,102
"1329","Long Live The Queen","Indie","RPG","Simulation",2623,5656,305
"1330","Hexagon Defense","Indie",NA,NA,2622,21,11
"1331","My Bones","Gore","Adventure","Indie",2622,151,149
"1332","Out There Somewhere","Action","Adventure","Indie",2615,6180,459
"1333","Big Pharma","Indie","Simulation","Strategy",2614,1033,336
"1334","Stronghold Crusader HD","Simulation","Strategy",NA,2612,4079,170
"1335","Post Apocalyptic Mayhem","Action","Racing",NA,2608,1219,225
"1336","Unreal Gold","Action",NA,NA,2607,1228,132
"1337","Marble Run 2D","Indie","Simulation",NA,2602,46,12
"1338","Kabounce","Action","Indie","Sports",2597,228,17
"1339","Fable - The Lost Chapters","Action","Adventure","RPG",2595,4384,364
"1340","Germ Wars","Action","Casual","Indie",2595,103,81
"1341","Ice Lakes","Indie","Simulation","Sports",2595,822,162
"1342","Face It - A game to fight inner demons","Action","Adventure","Indie",2594,907,251
"1343","Elsword","Action","Adventure","Casual",2587,4755,1511
"1344","LEGO® STAR WARS™: The Force Awakens","Action","Adventure",NA,2586,1828,422
"1345","Energy Cycle","Casual","Indie",NA,2585,167,52
"1346","Blush Blush","Casual","Free to Play","Indie",2581,193,24
"1347","Redemption: Saints And Sinners","Nudity","Violent","Gore",2580,78,85
"1348","Yet Another Zombie Defense HD","Action","Indie",NA,2573,710,177
"1349","FEZ","Indie",NA,NA,2571,10641,928
"1350","NEKOPARA Vol. 3","Sexual Content","Nudity","Casual",2571,7678,202
"1351","Chip","Action","Indie","Strategy",2569,932,167
"1352","Pro Cycling Manager 2018","Simulation","Sports",NA,2565,86,76
"1353","Allods Online RU","Free to Play","Massively Multiplayer","RPG",2563,423,288
"1354","'n Verlore Verstand","Adventure","Casual","Indie",2553,40,46
"1355","Ostalgie: The Berlin Wall","Indie","Simulation","Strategy",2548,284,18
"1356","Impire","Strategy",NA,NA,2547,167,208
"1357","Stranded In Time","Adventure","Casual","Indie",2544,57,14
"1358","The Wild Eight","Action","Adventure","Indie",2538,2757,1063
"1359","Whispering Willows","Adventure","Indie",NA,2527,782,167
"1360","Bonny's Adventure","Action","Adventure","Casual",2524,10,1
"1361","WWE 2K16","Simulation","Sports",NA,2520,1725,1026
"1362","Project Highrise","Simulation","Strategy",NA,2515,1724,400
"1363","Empires of the Undergrowth","Indie","Simulation","Strategy",2509,1117,107
"1364","Flat Kingdom Paper's Cut Edition","Action","Adventure","Indie",2509,132,36
"1365","Lex Mortis","Action","Adventure","Indie",2509,66,73
"1366","Fork Parker's Holiday Profit Hike","Action","Adventure","Free to Play",2491,510,107
"1367","Alchemyland","Adventure","Casual","Indie",2489,44,57
"1368","RPG Maker MV","Design & Illustration","Web Publishing",NA,2486,2344,324
"1369","Ultimate Fishing Simulator","Casual","Simulation","Sports",2485,1110,207
"1370","E.Y.E: Divine Cybermancy","Action","Indie","RPG",2481,4459,906
"1371","Hungry Flame","Action","Casual","Indie",2477,115,41
"1372","Sudden Strike 4","Strategy",NA,NA,2476,2579,1107
"1373","Wings of Prey","Simulation",NA,NA,2474,314,148
"1374","A SECOND BEFORE US","Adventure","Indie",NA,2473,38,28
"1375","Mystery Mine","Adventure","Indie","RPG",2472,53,50
"1376","Brick Rigs","Simulation","Early Access",NA,2460,3207,636
"1377","Magdalena","Adventure","Indie",NA,2459,102,137
"1378","Door Kickers: Action Squad","Action","Casual","Indie",2454,820,67
"1379","The Wonderful End of the World","Indie","Casual",NA,2454,402,135
"1380","Carton","Action","Adventure","Indie",2452,7,8
"1381","Pro Cycling Manager 2015","Simulation","Sports",NA,2451,192,133
"1382","PRO EVOLUTION SOCCER 2019 LITE","Sports",NA,NA,2451,423,637
"1383","Shakes and Fidget Remastered","Adventure","Casual","Free to Play",2451,203,108
"1384","SENRAN KAGURA Peach Beach Splash","Action",NA,NA,2450,1783,647
"1385","Total War Battles: KINGDOM","Free to Play","Strategy",NA,2448,1692,1646
"1386","Bootombaa","Action","Adventure","Casual",2446,46,77
"1387","Dangerous Bullets","Action","Adventure","Indie",2444,4,6
"1388","Steel Ocean","Free to Play","Massively Multiplayer","Simulation",2444,2845,1259
"1389","WWE 2K18","Simulation","Sports",NA,2444,952,970
"1390","Serious Sam 3: BFE","Action","Indie",NA,2439,15574,1977
"1391","Salt and Sanctuary","Violent","Gore","Action",2430,7173,634
"1392","Eaten Alive","Indie",NA,NA,2429,166,301
"1393","Slash It Ultimate","Action","Casual","Indie",2429,186,66
"1394","Andarilho","Action","Adventure","Casual",2428,201,140
"1395","Edge of Hearts","Action","Adventure","Indie",2423,30,15
"1396","The Lost","Adventure","Casual","Indie",2421,39,24
"1397","Vanquish","Action",NA,NA,2418,2360,327
"1398","Normality","Action","Adventure",NA,2416,190,100
"1399","Weable","Action","Casual","Indie",2416,50,9
"1400","Dinosaur Hunt","Action","Adventure","Indie",2412,1948,1073
"1401","Neverwinter Nights: Enhanced Edition","RPG",NA,NA,2410,966,278
"1402","Celeste","Action","Adventure","Indie",2403,7239,206
"1403","Space Pilgrim Episode IV: Sol","Adventure","Indie",NA,2402,234,26
"1404","Invisible, Inc.","Action","Indie","Strategy",2401,3559,271
"1405","City Car Driving","Indie","Racing","Simulation",2399,1606,668
"1406","Midas Gold Plus","Adventure","Casual","Free to Play",2398,1373,185
"1407","Tetropunk","Casual","Indie",NA,2396,15,6
"1408","Machine Made: Rebirth","Indie","RPG",NA,2395,91,19
"1409","System Shock 2","Action","RPG",NA,2395,4227,274
"1410","F1 2014","Racing","Sports",NA,2393,1113,317
"1411","Knight Adventure","Action","Adventure","Indie",2391,19,32
"1412","Faerie Solitaire","Casual","Indie",NA,2389,2147,207
"1413","Porradaria Upgrade","Action","Indie",NA,2388,38,16
"1414","Pilam Sky","Action","Casual","Indie",2386,39,5
"1415","GUILTY GEAR XX ACCENT CORE PLUS R","Action",NA,NA,2383,658,65
"1416","BLOCKPOST","Action","Free to Play","Indie",2381,2703,1084
"1417","Energy Balance","Casual","Indie",NA,2378,166,67
"1418","Pro Cycling Manager 2016","Simulation","Sports",NA,2377,186,123
"1419","SolarGun","Casual","Indie",NA,2376,146,22
"1420","Planet of Mubu","Action","Adventure","Indie",2375,42,16
"1421","Duelyst","Free to Play","Indie","Strategy",2372,3469,794
"1422","Antichamber","Adventure","Indie",NA,2369,12232,612
"1423","Zombie Defense","Action","Casual","Free to Play",2369,1233,265
"1424","Hyper color ball","Casual","Indie","Simulation",2368,123,157
"1425","Project Tarvotan","Indie","Simulation","Strategy",2367,10,13
"1426","The Technomancer","Action","RPG",NA,2366,1232,565
"1427","神舞幻想 Faith of Danschant","RPG",NA,NA,2364,732,242
"1428","Blackguards","Indie","RPG","Strategy",2360,1669,1050
"1429","Way of Hero","Action","Adventure","Indie",2359,35,51
"1430","Blockland","Action","Indie","Simulation",2358,3706,1444
"1431","Get CARNAGE!!!","Action","Indie",NA,2349,37,7
"1432","Defiance 2050","Adventure","Free to Play","Massively Multiplayer",2343,636,978
"1433","War Robots","Action","Free to Play",NA,2342,756,929
"1434","Space Hulk: Deathwing - Enhanced Edition","Action","Adventure",NA,2341,1039,497
"1435","Freedom Fighter","Violent","Action","Indie",2337,3,1
"1436","AirMech Strike","Action","Free to Play","Indie",2336,7640,1440
"1437","Detention","Adventure","Indie",NA,2335,8540,2688
"1438","Colortone","Adventure","Indie",NA,2333,55,35
"1439","Voxel Warfare Online","Action","Adventure","Casual",2332,433,345
"1440","Citalis","Casual","Indie","Simulation",2331,95,80
"1441","Cannons-Defenders: Steam Edition","Action","Casual","Indie",2330,47,36
"1442","SpaceCorn","Action","Adventure","Indie",2329,249,156
"1443","Sunset Overdrive","Action","Adventure",NA,2326,2421,274
"1444","Dead Island Definitive Edition","Action",NA,NA,2324,3513,1415
"1445","Cursed West","Action","Adventure","Indie",2322,19,9
"1446","Pixel Puzzles: Japan","Casual","Indie","Simulation",2321,1870,408
"1447","The Cave","Adventure",NA,NA,2320,1702,266
"1448","Crispy Chicken","Action","Adventure","Casual",2317,123,116
"1449","1914: Prelude to Chaos","RPG",NA,NA,2316,26,37
"1450","Divinity: Dragon Commander","Action","RPG","Strategy",2311,1274,431
"1451","McPixel","Action","Adventure","Indie",2311,3000,581
